frame,mse,rmse,mae,psnr,snr,ssim,mmd,capacity_bits,embedded_bits,capacity_ratio,embed_time_sec
118,0.008287037037037037,0.09103316448985523,0.008287037037037037,68.94681081038948,55.65834564331819,0.9999459264101276,0.00031893004115346457,6312,6312,1.0,0.1318049430847168
134,0.008359053497942387,0.09142785952838657,0.008359053497942387,68.90923256143273,55.90697092917014,0.9999384139200589,5.144032921577946e-05,6391,6391,1.0,0.1109771728515625
66,0.007592592592592593,0.08713548411865624,0.007592592592592593,69.32690263971143,56.26605916860278,0.9999433124027642,0.0004269547325108647,5955,5955,1.0,0.10939455032348633
38,0.00753858024691358,0.08682499782270992,0.00753858024691358,69.35790798683712,56.09830086009985,0.9999394283187559,0.00023405349794103358,5939,5939,1.0,0.11358857154846191
129,0.008292181069958847,0.09106141372699442,0.008292181069958847,68.94411583989094,55.75867567358425,0.9999274106063568,0.00014403292180986682,6380,6380,1.0,0.11545944213867188
81,0.007669753086419753,0.08757712650241359,0.007669753086419753,69.28298978005172,56.17419090589536,0.9999515739659666,7.716049383077461e-05,5943,5943,1.0,0.11770272254943848
79,0.0077777777777777776,0.08819171036881969,0.0077777777777777776,69.22224830292978,56.13092016791973,0.9999456511693897,0.0002417695473297954,6111,6111,1.0,0.13103032112121582
88,0.007993827160493827,0.08940820521906157,0.007993827160493827,69.10325606993271,55.82363735869989,0.9999350045858798,0.00018004115226233353,6145,6145,1.0,0.10491585731506348
64,0.008034979423868313,0.08963804674282184,0.008034979423868313,69.08095591916884,55.975148482297705,0.9999380319949345,0.0005246913580236878,6197,6197,1.0,0.10758709907531738
135,0.008143004115226338,0.09023859548566976,0.008143004115226338,69.0229570659581,56.06545390086167,0.9999269927339656,0.00032921810699804155,6317,6317,1.0,0.1303246021270752
53,0.007916666666666667,0.08897565210026093,0.007916666666666667,69.14538001626687,55.93346039254932,0.9999398784321952,0.0001543209876544438,6104,6104,1.0,0.12536048889160156
80,0.008011831275720164,0.08950883350664428,0.008011831275720164,69.0934856612696,56.00079618734114,0.9999408857030864,4.372427983412308e-05,6238,6238,1.0,0.11646318435668945
125,0.008356481481481482,0.09141379262169075,0.008356481481481482,68.91056905777164,55.72985726187259,0.9999337025736871,0.0001568930041173644,6380,6380,1.0,0.11828827857971191
