frame,attack,ber,ncc,zncc,nlse,entropy
118,SALT_PEPPER,0.03439814814814815,0.9232068354281502,0.8740484265886378,0.17664655032324475,5.224845775484097
118,SPECKLE,0.2953549382716049,0.9888186403465645,0.9813866045634018,0.022513170881576325,5.226504319635509
118,GAUSSIAN_BLUR,0.28218364197530865,0.9975484516783523,0.9958864126088938,0.004951755073989545,5.30154987923355
118,MEDIAN_FILTER,0.16847222222222222,0.9987238733816813,0.9978430558347533,0.0025763654666632733,5.216958916131053
118,JPEG_40,0.6847299382716049,0.9987128789298627,0.9979037964900378,0.0025726578264547643,5.306205072266525
118,ROTATION,0.3072608024691358,0.9630071369326221,0.9373835842702023,0.07380312376851797,5.2620859492524295
134,SALT_PEPPER,0.03493827160493827,0.9283210899238824,0.8788297592975998,0.16378335516300166,5.2445889117950655
134,SPECKLE,0.2951311728395062,0.988810807764971,0.9807819872608996,0.022530355684991118,5.255552204353335
134,GAUSSIAN_BLUR,0.28790895061728394,0.997534781914706,0.9957296444981975,0.004978365707992396,5.324888185968358
134,MEDIAN_FILTER,0.1756712962962963,0.9987197945665471,0.9977656329296637,0.002588288775903692,5.239755710059892
134,JPEG_40,0.6860570987654321,0.9987141612127916,0.997827521694502,0.0025704330410281705,5.34318024332144
134,ROTATION,0.30843364197530865,0.9655140686362655,0.9397114601421117,0.068806484099962,5.2866560008137755
66,SALT_PEPPER,0.032700617283950614,0.9261687307426023,0.8795470002306903,0.16875949238761753,5.240743080757406
66,SPECKLE,0.2934953703703704,0.9888099619269886,0.9815218265461898,0.022571688301741364,5.251219178396365
66,GAUSSIAN_BLUR,0.29031635802469136,0.9970205339943112,0.9950405653462289,0.006021103925933672,5.327723333977373
66,MEDIAN_FILTER,0.18915895061728394,0.9984729856318693,0.9974390675139351,0.003095873238890547,5.234460280233909
66,JPEG_40,0.6855092592592592,0.9985011846484346,0.9975618299743039,0.0029956867382048015,5.341655196180875
66,ROTATION,0.3077237654320988,0.9582947428097547,0.9299337723644865,0.08317155641321904,5.285144872669744
38,SALT_PEPPER,0.03174382716049383,0.9257210908088511,0.8792916076601099,0.16999057841473342,5.226575850320149
38,SPECKLE,0.29429783950617283,0.98866349305223,0.9813303136588514,0.022805057701568043,5.2312226447343635
38,GAUSSIAN_BLUR,0.2862422839506173,0.997060185728134,0.9951230522850302,0.0059413360700813255,5.309977345168521
38,MEDIAN_FILTER,0.18145061728395062,0.9984990401785955,0.9974913227588508,0.003041269998999325,5.218540579893287
38,JPEG_40,0.6882716049382716,0.9984808104408051,0.9975397268994844,0.0030362254456101963,5.332147301277375
38,ROTATION,0.306195987654321,0.956985864014915,0.9279863587213983,0.08578097232348135,5.2681833266048965
129,SALT_PEPPER,0.033935185185185186,0.9270454609945009,0.8779778066392688,0.16674076433588972,5.233158537837645
129,SPECKLE,0.29555555555555557,0.9887619420047208,0.980905741719635,0.022626691389921724,5.242541136254184
129,GAUSSIAN_BLUR,0.27727623456790124,0.9976978789673798,0.9960554651436548,0.004650411133055442,5.313441468347793
129,MEDIAN_FILTER,0.1572145061728395,0.9987924016507608,0.997914985888815,0.002439565501597219,5.228626413180212
129,JPEG_40,0.6873996913580247,0.9987478226478718,0.9979109018332353,0.0025031093231462033,5.327317507080245
129,ROTATION,0.3074922839506173,0.9663750227344011,0.9418592359931879,0.067091570707397,5.272978675599831
81,SALT_PEPPER,0.03259259259259259,0.9256405764694843,0.8790358982775254,0.17002005956868238,5.23902102570187
81,SPECKLE,0.29400462962962964,0.988899202950412,0.9817081050508393,0.022349346825993384,5.247140889684167
81,GAUSSIAN_BLUR,0.2851466049382716,0.9970059190771174,0.9950300959007108,0.006050556311152495,5.3234320964468305
81,MEDIAN_FILTER,0.17793981481481483,0.9985048014726401,0.9974996158373414,0.0030319899292191354,5.234615148244265
81,JPEG_40,0.6901157407407408,0.9985136602755823,0.9975929485718771,0.002970476936490598,5.342048686150298
81,ROTATION,0.30829475308641974,0.9581337278471006,0.9298623228360848,0.0834905029248601,5.28224358925744
79,SALT_PEPPER,0.033171296296296296,0.9260637222766506,0.8796658876792406,0.16907385713508483,5.241805728606405
79,SPECKLE,0.2947222222222222,0.9888345744031894,0.9815860461679814,0.022451485166163496,5.248099593968596
79,GAUSSIAN_BLUR,0.28247685185185184,0.9969935215703388,0.9950085854381564,0.006076150655673409,5.32469701454016
79,MEDIAN_FILTER,0.1739814814814815,0.9984981807325825,0.9974878704915909,0.003045480705007285,5.235862568477522
79,JPEG_40,0.6881018518518518,0.9985191100735592,0.997601317487983,0.0029601351032884364,5.345712374688426
79,ROTATION,0.3082716049382716,0.9580785132222696,0.9297507621518465,0.0836014685565747,5.28419624333489
88,SALT_PEPPER,0.03341820987654321,0.9223698215522544,0.873311348493155,0.17964401934674912,5.226740763639137
88,SPECKLE,0.29411265432098765,0.9887322084684291,0.9813364246866082,0.022662597821875467,5.2314750779628945
88,GAUSSIAN_BLUR,0.28390432098765433,0.9972700991535869,0.9954392953893164,0.005509323575392452,5.305161563380073
88,MEDIAN_FILTER,0.1757793209876543,0.9985871154149907,0.9976237011715323,0.0028537331924117664,5.216937171836022
88,JPEG_40,0.6845987654320987,0.9985708308660418,0.9976798480794516,0.002856310465508708,5.32095549313905
88,ROTATION,0.3067206790123457,0.9609315376867702,0.9341988638416231,0.07793470491402676,5.265379019458304
64,SALT_PEPPER,0.03364969135802469,0.9257899257710156,0.8792382104181401,0.1701777772482932,5.241619424046966
64,SPECKLE,0.2933256172839506,0.9888686558668747,0.9816490085051666,0.02240378367871021,5.2469207461117024
64,GAUSSIAN_BLUR,0.28680555555555554,0.9969976311243205,0.9950145765836456,0.006067292736108624,5.325388447165705
64,MEDIAN_FILTER,0.1851466049382716,0.9984663334052403,0.9974342126109306,0.003109238900064313,5.233703394311017
64,JPEG_40,0.6859490740740741,0.9985056393390768,0.9975752047950625,0.002986868550900162,5.338012070162608
64,ROTATION,0.30875,0.957860355445788,0.9293773930682645,0.08403577799707468,5.282859055765135
135,SALT_PEPPER,0.03397376543209876,0.9296569685649411,0.8807833919737191,0.1602035546684848,5.250929844913653
135,SPECKLE,0.29486111111111113,0.9888538070233207,0.9808262419316381,0.02244921459206541,5.2611301527772
135,GAUSSIAN_BLUR,0.28803240740740743,0.997534909496781,0.9957233798350431,0.004978338547691055,5.329023706079926
135,MEDIAN_FILTER,0.17841820987654322,0.9987239404265066,0.9977692610060099,0.0025798970740562852,5.243163872481304
135,JPEG_40,0.6885185185185185,0.9987347163509595,0.9978629643768671,0.002529853588750464,5.3449666090164385
135,ROTATION,0.30949074074074073,0.9655085694782175,0.9396043805320722,0.06881749580205003,5.292249674765402
53,SALT_PEPPER,0.03307098765432099,0.9262049865663885,0.8803530213193186,0.1683325077927615,5.231174934875591
53,SPECKLE,0.2926388888888889,0.9887588979198172,0.9815288350725088,0.02258957158295599,5.237468313207657
53,GAUSSIAN_BLUR,0.279375,0.9970889536887115,0.9951859053366106,0.005885241665727216,5.318662722486613
53,MEDIAN_FILTER,0.1671604938271605,0.9985380460345552,0.9975639095204917,0.00296599947162387,5.227090118471244
53,JPEG_40,0.6891126543209877,0.998560359667676,0.9976779128151413,0.0028777279566876064,5.334739880106417
53,ROTATION,0.3058179012345679,0.9573805512817211,0.9288597929344877,0.08499546757952478,5.275395470473961
80,SALT_PEPPER,0.032962962962962965,0.9309339331858094,0.8874478018333979,0.1570045415063185,5.244923740982215
80,SPECKLE,0.295625,0.9887959444575356,0.9815329833817875,0.022550546910210606,5.249721271355036
80,GAUSSIAN_BLUR,0.28358796296296296,0.996994721179403,0.9950108622588941,0.0060737744690328695,5.325021822887141
80,MEDIAN_FILTER,0.17484567901234568,0.998498895660717,0.9974891761103946,0.003043978082486426,5.236637599940291
80,JPEG_40,0.688966049382716,0.9985218192099033,0.9976072586119826,0.002954530199822337,5.3452236184778155
80,ROTATION,0.30834876543209877,0.9580934366066779,0.9297805261961861,0.08357126118065478,5.2841131596484345
125,SALT_PEPPER,0.034297839506172836,0.9275084981582019,0.878574328541122,0.1658847956449425,5.245051488903086
125,SPECKLE,0.2958950617283951,0.9888518130536342,0.9810386452252757,0.022454449254042275,5.254518646229149
125,GAUSSIAN_BLUR,0.27348765432098765,0.9977388658039718,0.9961210175809967,0.004567854890634478,5.322683973762781
125,MEDIAN_FILTER,0.14422067901234567,0.9988247909794333,0.99796831452833,0.0023742984354476362,5.24114697040812
125,JPEG_40,0.6881635802469136,0.9988666603313142,0.9981163534040983,0.002265612347937456,5.331312231226891
125,ROTATION,0.3083564814814815,0.9662720809098218,0.9416086419732055,0.06730086942872207,5.284007975739234
119,SALT_PEPPER,0.03371141975308642,0.928022837287513,0.8813270774358252,0.1635990001733381,5.224539298628946
119,SPECKLE,0.2957175925925926,0.9888680409291792,0.9813950348029115,0.02242770952458179,5.22949152235277
119,GAUSSIAN_BLUR,0.28522376543209876,0.9976185212993108,0.9959865043701082,0.004808317849214898,5.303249858185696
119,MEDIAN_FILTER,0.17328703703703704,0.9987348555950014,0.9978526398102178,0.0025532968793984265,5.2186030126857705
119,JPEG_40,0.6852546296296296,0.9986836531766632,0.997842934402896,0.0026309723674271175,5.311001357898838
119,ROTATION,0.3057638888888889,0.9649768242969368,0.9404726991990798,0.06987870403048654,5.263492240122316
111,SALT_PEPPER,0.03333333333333333,0.922012851561955,0.8767312346180056,0.1802129220955321,5.182478780312143
111,SPECKLE,0.2923611111111111,0.9888310703119741,0.9820871305181007,0.0225052958396325,5.184071059185186
111,GAUSSIAN_BLUR,0.2769135802469136,0.9971334628951791,0.9953692372989914,0.005798926453941086,5.2622684741346095
111,MEDIAN_FILTER,0.16787037037037036,0.998511277207941,0.9975767263613995,0.003015507817098615,5.176536928452031
111,JPEG_40,0.686003086419753,0.9985269278863308,0.9976929607939788,0.0029439909514175893,5.262225403352053
111,ROTATION,0.30199845679012344,0.9573809418429235,0.930511633559721,0.08499668152666004,5.2227871507147725
